mz,Sample1_erin_mass_listhotw_0001_5ppm_8m_000001.csv,Sample2_erin_mass_listhotw_0002_5ppm_8m_000002.csv,Sample3_erin_mass_listhotw_0003_5ppm_8m_000002.csv,Sample6_erin_mass_listhotw_0004_5ppm_8m_000003.csv,Sample8_erin_mass_listhotw_0005_5ppm_8m_000002.csv,Sample9_erin_mass_listhotw_0006_5ppm_8m_000002.csv,Sample10_erin_mass_listhotw_0007_5ppm_8m_000002.csv,Sample11_erin_mass_listhotw_0008_5ppm_8m_000001.csv,Sample12_erin_mass_listhotw_0009_5ppm_8m_000001.csv,Sample13_erin_mass_listhotw_0010_5ppm_8m_000001.csv,Sample14_erin_mass_listhotw_0010_5ppm_8m_000002.csv,Sample15_erin_mass_listhotw_0012_5ppm_8m_000001.csv,Sample16_erin_mass_listhotw_0013_5ppm_8m_000001.csv,Sample17_erin_mass_listhotw_0014_5ppm_8m_000001.csv,Sample18_erin_mass_listhotw_0015_5ppm_8m_000001.csv,Sample19_erin_mass_listhotw_0016_5ppm_8m_000001.csv,Sample20_erin_mass_listhotw_0017_5ppm_8m_000001.csv,Sample21_erin_mass_listhotw_0018_5ppm_8m_000001.csv,Sample22_erin_mass_listhotw_0019_5ppm_8m_000001.csv,Sample23_erin_mass_listhotw_0020_5ppm_8m_000001.csv,Sample24_erin_mass_listhotw_0021_5ppm_8m_000001.csv,Sample25_erin_mass_listhotw_0022_5ppm_8m_000001.csv,Sample26_erin_mass_listhotw_0023_5ppm_8m_000001.csv,Sample27_erin_mass_listhotw_0024_5ppm_8m_000001.csv,Sample28_erin_mass_listhotw_0025_5ppm_8m_000001.csv,Sample29_erin_mass_listhotw_0026_5ppm_8m_000001.csv,Sample30_erin_mass_listhotw_0027_5ppm_8m_000001.csv,Sample31_erin_mass_listhotw_0028_5ppm_8m_000001.csv,Sample32_erin_mass_listhotw_0029_5ppm_8m_000001.csv,Sample33_erin_mass_listhotw_0030_5ppm_8m_000001.csv,Sample34_erin_mass_listhotw_0031_5ppm_8m_000001.csv,Sample35_erin_mass_listhotw_0032_5ppm_8m_000001.csv,Sample36_erin_mass_listhotw_0033_5ppm_8m_000001.csv,Sample37_erin_mass_listhotw_0034_5ppm_8m_000001.csv,Sample38_erin_mass_listhotw_0035_5ppm_8m_000001.csv,Sample39_erin_mass_listhotw_0036_5ppm_8m_000001.csv,Sample40_erin_mass_listhotw_0037_5ppm_8m_000001.csv,Sample41_erin_mass_listhotw_0038_5ppm_8m_000001.csv,Sample42_erin_mass_listhotw_0039_5ppm_8m_000001.csv,Sample43_erin_mass_listhotw_0040_5ppm_8m_000001.csv,Sample44_erin_mass_listhotw_0041_5ppm_8m_000001.csv,Sample45_erin_mass_listhotw_0042_5ppm_8m_000001.csv,Sample46_erin_mass_listhotw_0043_5ppm_8m_000001.csv,Sample47_erin_mass_listhotw_0044_5ppm_8m_000001.csv,Sample48_erin_mass_listhotw_0045_5ppm_8m_000001.csv,Sample49_erin_mass_listhotw_0046_5ppm_8m_000001.csv,Sample50_erin_mass_listhotw_0047_5ppm_8m_000001.csv,Sample51_erin_mass_listhotw_0048_5ppm_8m_000001.csv,Sample52_erin_mass_listhotw_0049_5ppm_8m_000001.csv,Sample54_erin_mass_listhotw_0050_5ppm_8m_000001.csv,Sample55_erin_mass_listhotw_0051_5ppm_8m_000001.csv,Sample56_erin_mass_listhotw_0052_5ppm_8m_000001.csv,Sample57_erin_mass_listhotw_0053_5ppm_8m_000001.csv,Sample58_erin_mass_listhotw_0054_5ppm_8m_000001.csv,Sample59_erin_mass_listhotw_0055_5ppm_8m_000001.csv,Sample60_erin_mass_listhotw_0056_5ppm_8m_000001.csv,Sample61_erin_mass_listhotw_0057_5ppm_8m_000001.csv,Sample62_erin_mass_listhotw_0058_5ppm_8m_000001.csv,Sample63_erin_mass_listhotw_0059_5ppm_8m_000001.csv,Sample64_erin_mass_listhotw_0060_5ppm_8m_000001.csv,Sample65_erin_mass_listhotw_0061_5ppm_8m_000001.csv,Sample66_erin_mass_listhotw_0062_5ppm_8m_000001.csv,Sample67_erin_mass_listhotw_0063_5ppm_8m_000001.csv,Sample68_erin_mass_listhotw_0064_5ppm_8m_000001.csv,Sample69_erin_mass_listhotw_0065_5ppm_8m_000001.csv,Sample70_erin_mass_listhotw_0066_5ppm_8m_000001.csv
440.055207,29983072,19463212,30337970,25759270,27998072,28727888,36293580,15944873,31485096,5963036,5345001,11888901,15037606,9278628,7127751,13946651,6269558,7952465,17055122,15624361,14822711,7219381,7995456,5532361,10626871,7335956,9237757,7032641,5568119,13059166,6907925,9866182,8150067,41608988,6427073,6724749,17423910,5195004,22274774,7350958,7029269,4311097,7392569,7862300,12453231,11900208,7122395,3888750,6094954,5114556,6078845,5361261,7523295,4698164,8980177,6120539,4052456,5280964,6478034,6041240,5930563,3650669,4542911,5933790,5725189,6212863
440.0834912,12214648,11746370,12553166,11111999,14210964,12532338,14298090,10046656,17067208,3857707,3471099,7088409,6677692,5309622,5432026,10432305,4635265,4655199,8805800,8517820,6274378,5261508,4796499,4205272,3809099,5173285,6337808,5062482,5940874,6902902,4329509,8190937,4717635,16738102,4960723,8592542,13688384,NA,18637554,8907455,5579300,6068301,5160269,2670640,5772673,5944646,3399146,3167868,4567164,3101387,4747664,4218490,4660202,NA,6174434,4641902,4644342,3067092,6211811,8081066,3669585,3277948,4989391,5372652,4054037,2893073
440.0915882,31588736,27950152,38022104,30985798,36878236,32856700,40487920,23219398,39218384,10427696,12136192,17131806,14775490,13767867,10658528,19975990,7346820,11991139,19660206,16230594,14593359,11569352,11624536,8420060,10733393,10940458,18306324,11194198,11581071,14156924,9406505,14855134,13810759,45180732,12763608,16202915,28745288,7906578,37561080,16108228,12882472,11589715,10943826,16996404,13272454,15168843,10444269,6260352,9916545,8923855,10801557,7556733,10722285,9490504,12699366,12665971,7978490,7177433,13330664,13336239,8150613,4551808,11862483,9595632,9296922,7470358
440.0987769,3723654,3411023,6310877,6704717,8206243,6642309,6282233,3443917,7883993,NA,3047173,5437732,3552456,NA,2743013,3868476,NA,NA,3423667,2531527,2891092,NA,2691165,NA,NA,2536495,2577690,NA,NA,2618498,2432045,NA,NA,8333125,3031516,NA,4132431,NA,7512833,2869961,NA,2979929,NA,2963514,NA,3173713,NA,NA,NA,3818195,NA,NA,NA,NA,NA,NA,NA,NA,NA,3491508,2494041,NA,2584023,2890484,NA,NA
440.1111018,NA,NA,3089384,NA,NA,2648724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440.1198647,12468632,13524063,13675506,9277023,14096312,11573918,13503503,8727775,13937904,2606399,4706066,4028723,5203161,7623886,6357747,8388429,3490448,5658737,8936900,6371542,5987682,5372120,3580011,4066027,6371173,3899451,7296296,2787174,4691619,5653652,3184697,5585905,5917783,14296921,5300713,8002741,11935331,4019491,17261334,8231638,6492726,7149672,4250982,8689736,6182296,7673185,NA,3427982,5034131,3056350,4202920,3399305,3449848,3399768,5179127,5600390,3501575,3383529,5449978,5811906,4099683,2831503,7750115,5712638,4406314,3175719
440.1562745,8716728,7019644,10226710,5832318,10622940,8551114,7982133,6663421,9874712,3708243,2742057,3225933,5936373,5313765,4932364,6913897,NA,3371139,5070304,4733166,4107641,3229932,3600516,2521854,NA,NA,5834048,2760571,3581627,4568241,3389518,3714056,4230251,10741629,3807744,3812556,10264198,3958073,11969336,5995245,3553865,4880514,2545023,5085281,3925422,4482428,3114511,NA,3492010,3126001,3467712,NA,2636806,NA,2549516,3429534,3214873,3130622,2468113,3182297,3260021,2485411,3785207,3951377,2670654,2616638
440.1643544,31490494,38730884,43920416,29740676,41400292,32168660,41208892,31493380,46820640,13188439,13635374,12568915,15488251,20387050,15434513,25104238,9452193,14448775,16104934,16754932,13512063,11921648,9986185,11098883,6223749,9867350,22271302,9408384,15693505,12100792,9480274,13650958,15858799,45737860,15090181,18447568,42835596,11158846,43131712,19811058,16429645,19224712,13376901,18356326,13911475,20739458,13082131,11966116,12652720,9226997,14184901,8482460,7683082,9588848,13215504,18744484,8150557,7783683,12486933,14261982,12525177,7386279,14623228,14568213,11156546,10521923
440.1712948,2673094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2550148,2485492,3117198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2485570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440.1926607,2533848,4525209,2911290,3088029,2949120,NA,3992667,3263772,3513664,NA,2643777,3225959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3720536,NA,NA,3001551,NA,NA,NA,2709408,NA,NA,3013288,NA,4440924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2527360,NA,NA,NA,2916627,NA,NA,NA,NA,NA,NA,2442322,NA
440.2007424,13484511,14597280,17787970,11742884,18610184,14695168,14273635,12832034,18705738,5926251,6242118,6715757,7398680,7533826,6955819,9826187,4946608,6604953,6077954,6334733,5479831,4843781,5234850,6032150,4466591,3371116,8263006,3514261,7960282,5043414,6322279,5938214,7478404,14968744,6722075,7617768,17292976,5727573,19964772,7580425,6840928,7903395,5864862,10942591,5023178,8033693,4812326,3038902,3508423,3980041,4870621,NA,4529176,3911812,4003622,6956219,NA,4228376,4643116,4652790,5074571,3880123,7062032,8055591,3060823,4019546
441.0099242,4957346,3424032,4743012,4837726,7277356,8036052,9617320,3403718,9121988,NA,NA,3484589,7489427,NA,2784593,3324410,NA,NA,4558955,NA,6721447,NA,3064512,NA,3033565,3310160,NA,3774824,NA,2504554,2643506,2506292,NA,10627771,NA,NA,2418095,3583810,NA,NA,NA,2662130,NA,NA,NA,2635766,NA,NA,2427597,NA,NA,NA,NA,2452036,NA,NA,NA,NA,NA,2705664,NA,NA,NA,2650302,NA,NA
441.0311319,64193716,43974448,35598200,40702320,40844096,55729900,65785792,30445528,59240668,8118064,9064794,14076860,35370916,18700054,15828321,18616842,13351934,14588464,54149244,41298752,50900916,6642379,19694286,6331598,23529964,16314973,9975685,20656500,7063823,27355002,7731773,10858050,7073358,106228432,5747741,6569712,20963778,9627471,24290950,7994636,6607881,4397825,3694553,6204082,18712526,13490182,7761874,5322832,7066331,5643453,9311233,5898255,11763037,8516175,13117702,9733854,5525440,7857908,8145710,9683214,6279203,3507832,3584990,2757834,6143526,5590879
441.0463828,33752256,26165052,50605960,42963324,51034960,54386432,60542928,30248932,48689388,12836664,10522979,21720006,30848944,15996704,11011435,13980181,8559620,9656888,17006726,16935756,17493950,10701523,13525720,6474966,17222134,13595238,14661519,7754109,6338841,15509383,6281798,12570188,12951126,55569120,6808614,6278905,21406162,7640921,24503958,5438741,6632464,6470412,9822180,7223997,10880984,13645841,7520218,6101079,6959845,5479621,7959563,4526101,8813923,6021719,8128783,9447144,5246919,4949757,7392056,7618840,8241194,4306560,4846567,6487250,8707631,6094696
441.0589638,NA,5345096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441.0675007,167412944,126779216,189706144,150114704,178043744,156819232,202559456,107974648,199946496,38797124,48664944,68103128,75315136,58726188,55477624,96227880,38198284,52001348,100548760,83569496,81145800,46131936,50004712,36592864,50596356,40006260,68818848,47182216,49019176,69543832,38922832,58920540,53345888,240315120,46597172,55738120,114598376,33941348,168994480,58330400,46461980,38804252,37683188,60103372,66455524,72759328,40656868,33020002,42824436,37285072,46429208,26054686,41868652,32526946,51800348,43648756,25829328,31221512,39881540,53674276,34234420,22894218,41747444,38366428,37117500,33615732
441.0827627,40010976,31326042,69775272,55218588,64076660,59137836,70373360,36605956,65466644,14565196,19435898,28928992,31209420,19093304,15877508,21353010,11115539,13220426,18858146,19360612,15101910,16231143,15909617,11091177,17500688,16102012,22321062,10736017,12327218,18229156,12216922,20713060,19807850,64744192,13943868,13197072,36151796,10823535,37529272,15813931,10679331,11418406,17006588,17390294,16599023,21903404,12689388,9508969,12423932,12217560,13374499,9539620,15064433,7688811,10996004,13362944,7684056,8652561,12020558,13353263,8921148,8115859,11191291,12168420,13196867,11808639
441.0863856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3130340,NA,NA,NA,2806324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2488628,NA,NA,NA,NA,NA,NA,NA,NA,NA,3477180,NA,NA,NA,NA,NA,NA,2455598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2808038,NA,NA
441.0927233,NA,NA,5808054,4043173,NA,NA,NA,NA,NA,NA,NA,2710503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441.102494,NA,NA,NA,NA,NA,NA,10653704,NA,NA,NA,NA,5663727,5470172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441.1038816,159941872,153911152,179613632,134648240,186039184,157474624,191287312,132550680,198504752,48922456,47354248,62401520,65157084,68949832,60949908,110645824,39148572,54295124,89866416,71773040,64958436,48392948,41976576,36625652,43158048,41022088,79501240,48001436,55277888,62400436,39086692,58297968,58883704,208464656,56951880,69533472,148939264,38594428,197174992,71175480,62780460,65608500,46104588,75832032,57247740,74201144,44785656,36690036,43643656,37711076,50656304,26923054,39443832,37638776,55994672,63178508,34365412,37152540,51514204,59834684,39215176,29677214,54428680,51113200,37641808,38891404
441.1079806,NA,NA,NA,NA,NA,NA,NA,NA,NA,3397466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2610063
441.1171788,4179200,NA,NA,NA,3867542,NA,NA,NA,NA,NA,NA,3214330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441.119142,29115650,31620982,50769872,39358908,44678040,39018328,48058392,29724704,49639740,12672863,14725522,22146042,18561000,14407503,13837725,21467726,7801890,13081179,13238461,12299133,10350573,13789947,11649801,11156732,11577898,9720465,18601918,7500199,13392202,13617090,13462126,17108604,14491262,46951204,12739667,12861223,33858068,9840517,33138396,11996482,13538357,15506240,11968534,14883566,11298821,19560518,11984895,7714939,10605331,9071851,10581051,6590516,8158591,8876671,9193785,12003096,6696938,7243558,11774820,11895111,9453645,7399079,10331151,10079478,9911895,9719701
441.1288588,NA,NA,NA,NA,5868450,NA,4423716,3399721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3085442,NA,6757167,NA,NA,NA,NA,4980453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441.1321657,21873932,19070848,17346524,10056135,18004900,14991207,13627431,10678316,16052554,6852455,5652890,6192132,6092787,5506903,5455270,8950359,NA,6494818,5275847,5643142,6074358,4442882,4041490,5266691,2886196,6554265,9320392,3983790,6179156,5117901,4956790,4058756,7155334,16034610,6038619,6905647,17801762,3278733,16148200,7912778,7746620,10943306,5881887,8014583,5978126,7891025,5074950,2721920,4662044,NA,5219396,3068986,3392900,5362311,6601025,10135328,4771824,4497198,6761325,4618575,5652564,5142190,5147670,5102845,4734559,5197726
441.1402637,144737552,162692992,172535776,117608912,175029168,144105328,175427632,140546096,196538704,54067052,50598304,56175624,56113144,70063968,60229036,107237984,41114664,58849892,71778512,65612684,56733692,43412232,40829720,35675400,34638392,40268448,80746448,45904308,60946776,53159892,44198524,49057416,58850956,198765376,60490848,67501872,174760496,41478032,191670000,72748368,70644800,81599312,48955428,79698688,53282836,80492632,45375496,40818820,48984864,40660216,49083464,28086332,35642760,33084042,52947268,75499304,38887412,37938992,49679216,58098004,39247960,33314482,55706652,54717696,41606756,43347876
441.1528812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3525445,NA,NA,3576374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441.1555203,23233826,25526164,34582516,25465308,35699644,33021828,32133182,26546240,38007140,11951987,10645929,14052372,11286533,12760934,10634678,16257641,6134832,10426989,7524569,8424341,7819269,7613199,5563169,7085328,5638724,7848615,14743511,6259132,9591139,9865183,8497795,9547411,10469010,34335560,10904681,10174270,28647992,6887323,24143614,12528984,11711560,13523803,9052207,10337030,8939548,12179554,8519698,5679245,8860458,7417086,9868371,5558340,8338830,4932244,7784782,12027696,5242875,5863227,6794107,9093470,8024160,6190778,6485027,8752392,7720555,9400236
441.1651531,NA,NA,NA,NA,NA,NA,NA,NA,5706095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3775314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441.1684818,19154220,13868958,17461248,7967207,12786633,11198355,11710540,9277514,14356851,4906875,3940785,5717022,4077583,4263790,4797887,7340659,NA,5192308,4669667,6130590,4583438,3345174,2919210,3056919,3147341,NA,7309280,3748291,5925228,3426282,2563722,4611740,4271770,12102485,5407857,3882822,14697029,2607011,13846283,NA,5907535,8293221,5943352,6646544,4163620,7686252,3485721,3647635,4041523,5006597,4727900,NA,NA,3386011,4522326,6997816,3448834,2987842,3251075,3719527,3620966,2592449,5059627,4711695,5131891,4685748
441.1766561,73434416,81362848,89567240,60756460,86883280,67231648,83021912,66883664,93122936,24641406,29004214,28175396,31143958,33986420,30148036,52089464,21240888,29227640,33243370,28011428,30126098,23194394,19825456,18767130,19630674,22459060,39884772,20541896,31488370,26404848,22276750,26873504,30342814,83553120,29574262,33783628,85107280,20228008,93955856,34999652,37352532,36707180,26837054,41098004,28280874,41269360,23961628,21239960,23475000,19082506,25212002,14299212,17161622,15012511,21473626,34244412,18554886,19883846,24578952,29213036,19800170,15259333,30671918,27815186,23158392,21589946
441.1859959,2479420,NA,NA,NA,NA,NA,2467935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3648358,NA,NA,NA,NA,2509596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2631292,NA
441.191911,13198657,15450032,21082136,14184955,19561440,17833904,19763300,16535646,23097740,6905735,7754176,8023086,7706658,7591805,7218639,10007173,3906623,4921983,2990325,3947438,3061789,4660003,2694970,4314403,2937438,5001917,6731759,3527120,5491068,5130237,4774552,5422763,7343783,20474732,6481024,5861205,18621018,5294001,16246562,6458735,8680538,10345333,7979080,6257439,5216307,8976509,5505061,4606111,6009666,6102289,3540075,NA,3980700,3332776,4583779,6825800,3358733,2862928,3623825,6377846,3981425,3024589,4060216,5176603,5279360,5189571
441.2049061,3775821,NA,5472293,NA,3464173,3049407,3192946,NA,3381659,NA,NA,NA,NA,NA,NA,NA,NA,2513542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2695174,NA,NA,NA,2660216,2503816,2539356,NA,NA,2705198,2553207,3763297,NA,NA,2733864,2688571,NA,NA,NA,NA,NA,NA,NA,3071393,NA,NA,2772816,NA,NA,NA,2505087,NA,NA,NA,NA,NA,NA
441.2130332,18662740,21692352,21508140,15200781,25377780,18407368,19730554,16535663,22573476,7552915,8417742,7457853,9205810,9566091,7603677,12038805,5721160,9255561,6820101,7908285,7073834,4942638,4961096,5303598,6220397,5239498,9058301,4055517,8010123,5351438,4713123,9916088,9305778,20491136,6227085,6160226,23405166,5322686,27125558,10620284,7836773,9091973,7168086,11189037,5957696,12056717,3768368,4700329,5579599,3665180,9679993,3852380,4255140,4870835,6068591,8447829,3225623,3723100,5708702,6340995,5333116,5457625,8741955,7064869,5975692,4976592
441.2283373,5834081,5414861,7729212,4760090,7277572,7626715,8310922,7463036,7995828,3024795,NA,2630728,2902078,NA,NA,4518561,NA,3000977,NA,2445255,NA,NA,NA,2641206,NA,NA,NA,NA,2590101,NA,NA,2719427,NA,7875471,NA,NA,8413821,NA,7087941,NA,2757741,3867536,NA,NA,NA,NA,NA,NA,2924377,NA,NA,NA,NA,NA,3221368,3207007,2732062,NA,NA,NA,NA,NA,NA,3805485,2766484,NA
441.2493439,NA,NA,2961488,NA,4140057,3311604,2424992,NA,3381707,NA,NA,NA,2497103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2613944,NA,NA,2581412,NA,NA,NA,NA,3762009,NA,NA,NA,NA,NA,NA,2605224,NA,NA,NA,NA,NA,NA,NA,3015368,NA,NA,NA,NA,NA,2644379,NA,NA,2792535,2469175,NA,NA
441.2494215,NA,NA,NA,NA,NA,NA,2455711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2587960,NA,NA
441.285802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2548397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2516712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442.0135369,NA,NA,NA,NA,NA,2866059,2689974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2989701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442.0263582,NA,NA,NA,NA,NA,NA,NA,NA,4154656,NA,NA,NA,NA,NA,NA,2746628,NA,NA,2495342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3581586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442.034328,11601953,6132296,6554456,7685329,6446881,11789220,13243340,5391132,10581289,2585939,NA,NA,5319347,3244440,3334154,3695883,3538321,2876443,9970548,7327209,10818110,NA,4306283,2784992,4152496,3888308,NA,5743541,NA,5565091,NA,NA,NA,21065370,2995335,NA,3839349,2698669,4246095,3571574,2674184,NA,NA,2583898,4508220,NA,2864598,2437691,2537815,NA,2938517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2687499,NA,2781266,NA
442.0417659,4986920,3586638,3001183,4691159,5648168,5231533,6177747,3965730,5862705,2922838,NA,NA,3748537,NA,NA,3384592,NA,NA,NA,NA,4170307,NA,NA,NA,2567349,NA,NA,2499513,NA,NA,NA,NA,NA,7167649,NA,NA,NA,NA,3478102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2820813,NA,2804158,2428648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442.0496797,6420527,6382164,12129126,9180381,11403055,13157302,14324699,6066984,11212090,4757851,2620386,4505232,5032639,3627425,3772437,5104918,NA,NA,5174143,4251123,5120584,NA,2927989,3670759,3378362,2520253,3578405,NA,NA,4668080,NA,NA,NA,13594280,NA,NA,5422468,NA,5433950,NA,NA,2468324,NA,2862434,NA,2736888,4168158,2814533,NA,2957009,NA,NA,2446059,NA,NA,NA,2718120,NA,NA,2903966,NA,NA,NA,NA,4079707,NA
442.0627676,10250298,6816351,7279476,7038185,8453948,8053702,9143273,4711219,9786696,3189090,3595242,4279961,5167817,4012458,4417565,6599968,NA,NA,8668041,7675388,6468177,2881789,2698622,NA,2993348,NA,3435054,2638789,3163083,2984634,2503809,3682525,3047556,13815477,NA,4096374,7828880,3264962,11602538,3645320,NA,3206638,2834073,3546476,2892365,NA,2451940,2888268,3108201,NA,NA,NA,3223281,3312777,3312472,3774851,NA,NA,3790245,4936615,NA,NA,2565657,NA,3018850,NA
442.0708716,30705730,25723492,32060284,26645744,30113604,26780624,36623344,18387770,35845456,7131494,8246255,12291743,13163215,12941743,11331619,20010278,6528416,10239021,18252688,16838146,14676566,9637122,9864579,6844147,10194121,9286858,14096947,9556937,10312657,14273216,7466117,11759842,9502856,42593980,9463453,11870587,21636504,7809479,32483954,10923917,8615450,7237107,6509215,10812786,11807314,15391496,7758313,6998608,8263022,9080540,8500911,4514250,9641716,6759566,8686428,9144712,5136819,6908228,8932777,9159596,6353441,5339296,7546398,7098067,6561894,8491491
442.0862787,8341583,6263409,16446346,11302141,14376788,14230498,15684609,8778566,16938338,3029359,4731897,7216810,9919195,3479993,4225069,5272882,NA,3755060,5313435,3272204,4485728,2845962,4400525,2495228,3558612,3185875,5433917,2735058,2794459,4864717,3976334,5058796,3754129,16150219,3647142,4682117,9921958,2732496,11045505,4900758,3585570,4066814,4039337,4742524,4426332,6634259,4547057,2595415,3288440,2945764,3206841,NA,3387130,3009688,3423077,NA,2476476,2820428,2895283,2845622,2964009,NA,3528230,3083995,2560111,2464240
442.0897713,4010065,2715252,3228559,2778369,3153751,3013607,2946050,3054409,3640678,2675057,NA,2728621,2636511,NA,NA,NA,NA,2544694,2908061,3632655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3124942,NA,2589063,NA,NA,2460291,NA,NA,2559489,NA,NA,NA,2847509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
